============================================================
Domain:		PST
Dimensions:	12
|S|:		5451776
|A|:		27
|S|x|A|:		147197952
Episode Cap:	1000
Gamma:		0.9
NUM_UAV:		3
============================================================
Representation:		IndependentDiscretizationCompactBinary
Features per action:	52
Binary Dimensions:	[ 6  7  8  9 10 11]
============================================================
Representation:		iFDD
Features per action:	52
Initial Representation:	IndependentDiscretizationCompactBinary
Plus:			1
Sparsify:		1
Cached:			1
Online Threshold:	100.000
Batch Threshold:		100.000
Max Batch Discovery:	20
============================================================
Agent:		SARSA
Policy:		eGreedy
Alpha_0:		0.10
============================================================
Experiment:		OnlineExperiment
Output:			Results/13ICML-BatchiFDD/PST/PST-iFDD-50000-100/3-results.txt
Learning Steps:		50000
Performance Checks:	5
Log Intervals:		1(s)
143: E[0:00:01]-R[0:06:07]: Return=-54.00, Steps=10, Features = 53
262: E[0:00:02]-R[0:06:40]: Return=-91.00, Steps=18, Features = 55
408: E[0:00:03]-R[0:06:20]: Return=-71.00, Steps=10, Features = 59
540: E[0:00:04]-R[0:06:24]: Return=-77.00, Steps=25, Features = 59
647: E[0:00:05]-R[0:06:40]: Return=-70.00, Steps=11, Features = 62
805: E[0:00:07]-R[0:06:57]: Return=-108.00, Steps=65, Features = 63
957: E[0:00:08]-R[0:06:54]: Return=-128.00, Steps=55, Features = 63
1065: E[0:00:09]-R[0:07:02]: Return=-98.00, Steps=27, Features = 63
1216: E[0:00:10]-R[0:06:56]: Return=-73.00, Steps=119, Features = 66
1338: E[0:00:11]-R[0:06:56]: Return=-123.00, Steps=34, Features = 66
1484: E[0:00:12]-R[0:06:48]: Return=-74.00, Steps=10, Features = 66
1593: E[0:00:13]-R[0:06:50]: Return=-52.00, Steps=13, Features = 67
1733: E[0:00:15]-R[0:06:53]: Return=-57.00, Steps=31, Features = 68
1852: E[0:00:16]-R[0:06:52]: Return=-90.00, Steps=98, Features = 68
1994: E[0:00:17]-R[0:06:48]: Return=-2.00, Steps=13, Features = 68
2134: E[0:00:18]-R[0:06:42]: Return=-96.00, Steps=20, Features = 72
2314: E[0:00:19]-R[0:06:34]: Return=-72.00, Steps=29, Features = 72
2425: E[0:00:20]-R[0:06:36]: Return=-81.00, Steps=15, Features = 72
2582: E[0:00:21]-R[0:06:29]: Return=-78.00, Steps=13, Features = 72
2743: E[0:00:22]-R[0:06:26]: Return=-76.00, Steps=21, Features = 72
2910: E[0:00:24]-R[0:06:20]: Return=-81.00, Steps=15, Features = 72
3010: E[0:00:25]-R[0:06:24]: Return=-18.00, Steps=10, Features = 73
3146: E[0:00:26]-R[0:06:22]: Return=-96.00, Steps=20, Features = 74
3278: E[0:00:27]-R[0:06:21]: Return=-107.00, Steps=43, Features = 75
3437: E[0:00:28]-R[0:06:18]: Return=-105.00, Steps=31, Features = 76
3624: E[0:00:29]-R[0:06:13]: Return=-130.00, Steps=50, Features = 76
3800: E[0:00:31]-R[0:06:13]: Return=-181.00, Steps=99, Features = 76
3963: E[0:00:32]-R[0:06:10]: Return=-64.00, Steps=16, Features = 76
4047: E[0:00:33]-R[0:06:14]: Return=-51.00, Steps=10, Features = 77
4139: E[0:00:34]-R[0:06:16]: Return=-55.00, Steps=10, Features = 77
4285: E[0:00:35]-R[0:06:16]: Return=-166.00, Steps=87, Features = 77
4411: E[0:00:36]-R[0:06:15]: Return=-38.00, Steps=10, Features = 78
4505: E[0:00:37]-R[0:06:18]: Return=-72.00, Steps=19, Features = 79
4625: E[0:00:39]-R[0:06:19]: Return=-76.00, Steps=12, Features = 79
4708: E[0:00:40]-R[0:06:22]: Return=-85.00, Steps=14, Features = 79
4843: E[0:00:41]-R[0:06:21]: Return=-57.00, Steps=19, Features = 80
4943: E[0:00:42]-R[0:06:22]: Return=-71.00, Steps=25, Features = 80
5099: E[0:00:43]-R[0:06:18]: Return=-32.00, Steps=10, Features = 81
5237: E[0:00:44]-R[0:06:16]: Return=-34.00, Steps=10, Features = 81
5351: E[0:00:45]-R[0:06:16]: Return=-36.00, Steps=10, Features = 81
5481: E[0:00:46]-R[0:06:14]: Return=-37.00, Steps=22, Features = 81
5616: E[0:00:47]-R[0:06:13]: Return=-72.00, Steps=10, Features = 81
5746: E[0:00:48]-R[0:06:11]: Return=-84.00, Steps=18, Features = 81
5875: E[0:00:49]-R[0:06:12]: Return=-21.00, Steps=50, Features = 81
6030: E[0:00:50]-R[0:06:08]: Return=-52.00, Steps=48, Features = 81
6157: E[0:00:52]-R[0:06:10]: Return=-132.00, Steps=58, Features = 82
