============================================================
Domain:		BlocksWorld
Dimensions:	6
|S|:		46656
|A|:		36
|S|x|A|:		1679616
Episode Cap:	1000
Gamma:		1
noise		0.3
blocks		6
============================================================
Representation:		IndependentDiscretization
Starting Features:	36
Aggregated States:	46656
============================================================
Agent:		SARSA
Policy:		eGreedy
Alpha_0:		0.10
============================================================
Experiment:		OnlineExperiment
Output:			Results/BlocksWorld-SARSA-IndependentDiscritization/2-2-result.txt
Max Steps: 		30000
Performance Checks:	10
1000: E[0:00:02]-R[0:00:56]: Return=-1.00, Steps=1000, Features = 36
2000: E[0:00:04]-R[0:00:49]: Return=-1.00, Steps=1000, Features = 36
3000 >>> E[0:00:07]-R[0:01:03]: Return=-1.00, Steps=1000, Features = 36
4265: E[0:00:09]-R[0:00:56]: Return=-1.00, Steps=1000, Features = 36
5265: E[0:00:11]-R[0:00:52]: Return=-1.00, Steps=1000, Features = 36
6000 >>> E[0:00:14]-R[0:00:54]: Return=-1.00, Steps=1000, Features = 36
7265: E[0:00:16]-R[0:00:50]: Return=-1.00, Steps=1000, Features = 36
8265: E[0:00:18]-R[0:00:46]: Return=-1.00, Steps=1000, Features = 36
9000 >>> E[0:00:20]-R[0:00:47]: Return=-1.00, Steps=1000, Features = 36
10265: E[0:00:22]-R[0:00:43]: Return=-1.00, Steps=1000, Features = 36
11265: E[0:00:24]-R[0:00:40]: Return=-1.00, Steps=1000, Features = 36
12000 >>> E[0:00:26]-R[0:00:40]: Return=-1.00, Steps=1000, Features = 36
13231: E[0:00:29]-R[0:00:36]: Return=0.03, Steps=966, Features = 36
14231: E[0:00:30]-R[0:00:34]: Return=-1.00, Steps=1000, Features = 36
15000 >>> E[0:00:33]-R[0:00:33]: Return=-1.00, Steps=1000, Features = 36
16231: E[0:00:35]-R[0:00:30]: Return=-1.00, Steps=1000, Features = 36
17231: E[0:00:37]-R[0:00:27]: Return=-1.00, Steps=1000, Features = 36
18000 >>> E[0:00:40]-R[0:00:27]: Return=-1.00, Steps=1000, Features = 36
18623: E[0:00:41]-R[0:00:25]: Return=0.61, Steps=392, Features = 36
19623: E[0:00:43]-R[0:00:23]: Return=-1.00, Steps=1000, Features = 36
20623: E[0:00:45]-R[0:00:20]: Return=-1.00, Steps=1000, Features = 36
21000 >>> E[0:00:47]-R[0:00:20]: Return=-1.00, Steps=1000, Features = 36
21623: E[0:00:48]-R[0:00:19]: Return=-1.00, Steps=1000, Features = 36
22623: E[0:00:50]-R[0:00:16]: Return=-1.00, Steps=1000, Features = 36
23623: E[0:00:52]-R[0:00:14]: Return=-1.00, Steps=1000, Features = 36
24000 >>> E[0:00:54]-R[0:00:13]: Return=-1.00, Steps=1000, Features = 36
24623: E[0:00:55]-R[0:00:12]: Return=-1.00, Steps=1000, Features = 36
25623: E[0:00:56]-R[0:00:10]: Return=-1.00, Steps=1000, Features = 36
26623: E[0:00:58]-R[0:00:07]: Return=-1.00, Steps=1000, Features = 36
27000 >>> E[0:01:00]-R[0:00:07]: Return=-1.00, Steps=1000, Features = 36
27623: E[0:01:01]-R[0:00:05]: Return=-1.00, Steps=1000, Features = 36
28623: E[0:01:03]-R[0:00:03]: Return=-1.00, Steps=1000, Features = 36
29623: E[0:01:04]-R[0:00:01]: Return=-1.00, Steps=1000, Features = 36
30000 >>> E[0:01:06]-R[0:00:00]: Return=-1.00, Steps=1000, Features = 36
============================================================
Took 0:01:06
Saved in 2-result.txt
