============================================================
Domain:		BlocksWorld
Dimensions:	6
|S|:		46656
|A|:		36
|S|x|A|:		1679616
Episode Cap:	1000
Gamma:		1
noise		0.3
blocks		6
============================================================
Representation:		iFDD
Starting Features:	36
Aggregated States:	46656
Threshold:		0.050
Sparsify:		1
Cached:			1
Max Batch Discovery:	1
Batch Threshold:		0.001
============================================================
Agent:		SARSA
Policy:		eGreedy
Alpha_0:		0.10
============================================================
Experiment:		OnlineExperiment
Output:			Results/BlocksWorld-SARSA-iFDD/1-1-result.txt
Max Steps: 		30000
Performance Checks:	10
1000: E[0:00:03]-R[0:01:21]: Return=-1.00, Steps=1000, Features = 36
2000: E[0:00:05]-R[0:01:15]: Return=-1.00, Steps=1000, Features = 36
3000: E[0:00:08]-R[0:01:11]: Return=-1.00, Steps=1000, Features = 36
3000 >>> E[0:00:09]-R[0:01:22]: Return=-1.00, Steps=1000, Features = 36
4000: E[0:00:12]-R[0:01:16]: Return=-1.00, Steps=1000, Features = 36
5000: E[0:00:14]-R[0:01:11]: Return=-1.00, Steps=1000, Features = 36
6000: E[0:00:17]-R[0:01:06]: Return=-1.00, Steps=1000, Features = 36
6000 >>> E[0:00:18]-R[0:01:11]: Return=-1.00, Steps=1000, Features = 36
7000: E[0:00:20]-R[0:01:06]: Return=-1.00, Steps=1000, Features = 36
8000: E[0:00:23]-R[0:01:02]: Return=-1.00, Steps=1000, Features = 36
9000: E[0:00:25]-R[0:00:58]: Return=-1.00, Steps=1000, Features = 36
9000 >>> E[0:00:26]-R[0:01:01]: Return=-1.00, Steps=1000, Features = 36
10018: E[0:00:29]-R[0:00:57]: Return=-1.00, Steps=1000, Features = 51
11018: E[0:00:31]-R[0:00:54]: Return=-1.00, Steps=1000, Features = 76
12000 >>> E[0:00:35]-R[0:00:53]: Return=-1.00, Steps=1000, Features = 82
13008: E[0:00:38]-R[0:00:50]: Return=0.01, Steps=990, Features = 111
14098: E[0:00:41]-R[0:00:47]: Return=0.28, Steps=722, Features = 129
14860: E[0:00:44]-R[0:00:44]: Return=0.34, Steps=659, Features = 135
15000 >>> E[0:00:44]-R[0:00:44]: Return=1.00, Steps=5, Features = 135
15434: E[0:00:45]-R[0:00:42]: Return=0.43, Steps=574, Features = 135
15939: E[0:00:47]-R[0:00:41]: Return=0.78, Steps=222, Features = 141
16371: E[0:00:48]-R[0:00:40]: Return=0.74, Steps=264, Features = 167
16674: E[0:00:49]-R[0:00:39]: Return=0.94, Steps=64, Features = 187
16957: E[0:00:50]-R[0:00:38]: Return=0.99, Steps=13, Features = 223
17477: E[0:00:52]-R[0:00:37]: Return=0.50, Steps=500, Features = 257
17842: E[0:00:53]-R[0:00:36]: Return=0.78, Steps=222, Features = 288
18000 >>> E[0:00:54]-R[0:00:36]: Return=0.99, Steps=7, Features = 288
18286: E[0:00:55]-R[0:00:35]: Return=0.99, Steps=8, Features = 298
18619: E[0:00:56]-R[0:00:34]: Return=0.99, Steps=15, Features = 302
18938: E[0:00:57]-R[0:00:33]: Return=0.98, Steps=23, Features = 328
19205: E[0:00:58]-R[0:00:32]: Return=0.98, Steps=17, Features = 353
19512: E[0:00:59]-R[0:00:32]: Return=0.99, Steps=11, Features = 362
19811: E[0:01:00]-R[0:00:31]: Return=0.99, Steps=7, Features = 365
20194: E[0:01:01]-R[0:00:30]: Return=0.90, Steps=105, Features = 371
20503: E[0:01:02]-R[0:00:29]: Return=1.00, Steps=5, Features = 380
20779: E[0:01:03]-R[0:00:28]: Return=0.99, Steps=8, Features = 385
