============================================================
Domain:		BlocksWorld
Dimensions:	6
|S|:		46656
|A|:		36
|S|x|A|:		1679616
Episode Cap:	1000
Gamma:		1
noise		0.3
blocks		6
============================================================
Representation:		iFDD
Starting Features:	36
Aggregated States:	46656
Threshold:		0.050
Sparsify:		1
Cached:			1
Max Batch Discovery:	1
Batch Threshold:		0.001
============================================================
Agent:		SARSA
Policy:		eGreedy
Alpha_0:		0.10
============================================================
Experiment:		OnlineExperiment
Output:			Results/BlocksWorld-SARSA-iFDD/3-3-result.txt
Max Steps: 		30000
Performance Checks:	10
1000: E[0:00:03]-R[0:01:28]: Return=-1.00, Steps=1000, Features = 36
2000: E[0:00:06]-R[0:01:19]: Return=-1.00, Steps=1000, Features = 36
3000: E[0:00:08]-R[0:01:15]: Return=-1.00, Steps=1000, Features = 36
3000 >>> E[0:00:09]-R[0:01:25]: Return=-1.00, Steps=1000, Features = 36
4000: E[0:00:12]-R[0:01:17]: Return=-1.00, Steps=1000, Features = 36
5000: E[0:00:14]-R[0:01:12]: Return=-1.00, Steps=1000, Features = 36
6000: E[0:00:17]-R[0:01:08]: Return=-1.00, Steps=1000, Features = 36
6000 >>> E[0:00:18]-R[0:01:12]: Return=-1.00, Steps=1000, Features = 36
7000: E[0:00:20]-R[0:01:07]: Return=-1.00, Steps=1000, Features = 36
8000: E[0:00:23]-R[0:01:03]: Return=-1.00, Steps=1000, Features = 36
9000: E[0:00:25]-R[0:00:59]: Return=-1.00, Steps=1000, Features = 36
9000 >>> E[0:00:27]-R[0:01:02]: Return=-1.00, Steps=1000, Features = 36
10000: E[0:00:29]-R[0:00:57]: Return=-1.00, Steps=1000, Features = 36
11000: E[0:00:31]-R[0:00:54]: Return=-1.00, Steps=1000, Features = 36
12000: E[0:00:33]-R[0:00:50]: Return=-1.00, Steps=1000, Features = 36
12000 >>> E[0:00:35]-R[0:00:52]: Return=-1.00, Steps=1000, Features = 36
13000: E[0:00:37]-R[0:00:48]: Return=-1.00, Steps=1000, Features = 36
14000: E[0:00:39]-R[0:00:45]: Return=-1.00, Steps=1000, Features = 36
15000: E[0:00:42]-R[0:00:42]: Return=-1.00, Steps=1000, Features = 36
15000 >>> E[0:00:43]-R[0:00:43]: Return=-1.00, Steps=1000, Features = 36
16000: E[0:00:45]-R[0:00:40]: Return=-1.00, Steps=1000, Features = 36
17000: E[0:00:48]-R[0:00:37]: Return=-1.00, Steps=1000, Features = 36
18000: E[0:00:50]-R[0:00:33]: Return=-1.00, Steps=1000, Features = 36
18000 >>> E[0:00:51]-R[0:00:34]: Return=-1.00, Steps=1000, Features = 36
19000: E[0:00:54]-R[0:00:31]: Return=-1.00, Steps=1000, Features = 36
20000: E[0:00:56]-R[0:00:28]: Return=-1.00, Steps=1000, Features = 36
21000: E[0:00:58]-R[0:00:25]: Return=-1.00, Steps=1000, Features = 36
21000 >>> E[0:01:00]-R[0:00:26]: Return=-1.00, Steps=1000, Features = 36
22000: E[0:01:02]-R[0:00:23]: Return=-1.00, Steps=1000, Features = 36
23000: E[0:01:05]-R[0:00:20]: Return=-1.00, Steps=1000, Features = 36
24000: E[0:01:07]-R[0:00:17]: Return=-1.00, Steps=1000, Features = 36
24000 >>> E[0:01:08]-R[0:00:17]: Return=-1.00, Steps=1000, Features = 36
25000: E[0:01:11]-R[0:00:14]: Return=-1.00, Steps=1000, Features = 36
26000: E[0:01:13]-R[0:00:11]: Return=-1.00, Steps=1000, Features = 36
27000: E[0:01:15]-R[0:00:08]: Return=-1.00, Steps=1000, Features = 36
27000 >>> E[0:01:17]-R[0:00:09]: Return=-1.00, Steps=1000, Features = 36
28000: E[0:01:19]-R[0:00:06]: Return=-1.00, Steps=1000, Features = 36
29000: E[0:01:21]-R[0:00:03]: Return=-1.00, Steps=1000, Features = 36
30000: E[0:01:24]-R[0:00:00]: Return=-1.00, Steps=1000, Features = 36
30000 >>> E[0:01:25]-R[0:00:00]: Return=-1.00, Steps=1000, Features = 36
============================================================
Took 0:01:25
Saved in 3-result.txt
