============================================================
Domain:		BlocksWorld
Dimensions:	6
|S|:		46656
|A|:		36
|S|x|A|:		1679616
Episode Cap:	1000
Gamma:		1
noise		0.3
blocks		6
============================================================
Representation:		iFDD
Starting Features:	36
Aggregated States:	46656
Threshold:		0.050
Sparsify:		1
Cached:			1
Max Batch Discovery:	1
Batch Threshold:		0.001
============================================================
Agent:		SARSA
Policy:		eGreedy
Alpha_0:		0.10
============================================================
Experiment:		OnlineExperiment
Output:			Results/BlocksWorld-SARSA-iFDD/2-2-result.txt
Max Steps: 		30000
Performance Checks:	10
1000: E[0:00:03]-R[0:01:25]: Return=-1.00, Steps=1000, Features = 36
2000: E[0:00:05]-R[0:01:17]: Return=-1.00, Steps=1000, Features = 36
3000 >>> E[0:00:09]-R[0:01:25]: Return=-1.00, Steps=1000, Features = 78
4265: E[0:00:12]-R[0:01:15]: Return=-1.00, Steps=1000, Features = 133
5265: E[0:00:15]-R[0:01:10]: Return=-1.00, Steps=1000, Features = 167
6000 >>> E[0:00:18]-R[0:01:13]: Return=-1.00, Steps=1000, Features = 177
7265: E[0:00:21]-R[0:01:07]: Return=-1.00, Steps=1000, Features = 205
8265: E[0:00:24]-R[0:01:03]: Return=-1.00, Steps=1000, Features = 207
9000 >>> E[0:00:27]-R[0:01:04]: Return=-1.00, Steps=1000, Features = 214
10265: E[0:00:30]-R[0:00:59]: Return=-1.00, Steps=1000, Features = 222
11265: E[0:00:33]-R[0:00:55]: Return=-1.00, Steps=1000, Features = 225
12000 >>> E[0:00:36]-R[0:00:55]: Return=-1.00, Steps=1000, Features = 239
13265: E[0:00:40]-R[0:00:50]: Return=-1.00, Steps=1000, Features = 242
14265: E[0:00:43]-R[0:00:47]: Return=-1.00, Steps=1000, Features = 261
15000 >>> E[0:00:46]-R[0:00:46]: Return=-1.00, Steps=1000, Features = 267
16154: E[0:00:50]-R[0:00:42]: Return=-1.00, Steps=1000, Features = 271
16567: E[0:00:51]-R[0:00:41]: Return=0.89, Steps=109, Features = 283
17095: E[0:00:52]-R[0:00:40]: Return=0.73, Steps=272, Features = 287
17430: E[0:00:54]-R[0:00:39]: Return=0.97, Steps=34, Features = 288
17895: E[0:00:55]-R[0:00:37]: Return=0.66, Steps=340, Features = 288
18000 >>> E[0:00:55]-R[0:00:37]: Return=0.99, Steps=12, Features = 289
18336: E[0:00:56]-R[0:00:36]: Return=0.98, Steps=19, Features = 290
18846: E[0:00:58]-R[0:00:34]: Return=0.83, Steps=166, Features = 301
19336: E[0:00:59]-R[0:00:33]: Return=0.72, Steps=284, Features = 310
19731: E[0:01:00]-R[0:00:31]: Return=0.98, Steps=16, Features = 311
20114: E[0:01:01]-R[0:00:30]: Return=0.94, Steps=59, Features = 314
20434: E[0:01:02]-R[0:00:29]: Return=0.98, Steps=17, Features = 319
20761: E[0:01:03]-R[0:00:28]: Return=0.99, Steps=12, Features = 320
21000 >>> E[0:01:04]-R[0:00:27]: Return=0.99, Steps=13, Features = 340
21336: E[0:01:05]-R[0:00:26]: Return=0.98, Steps=17, Features = 350
21629: E[0:01:06]-R[0:00:26]: Return=0.99, Steps=12, Features = 360
21989: E[0:01:07]-R[0:00:24]: Return=0.96, Steps=41, Features = 376
22353: E[0:01:08]-R[0:00:23]: Return=0.98, Steps=20, Features = 379
22756: E[0:01:09]-R[0:00:22]: Return=0.89, Steps=115, Features = 383
23077: E[0:01:10]-R[0:00:21]: Return=0.99, Steps=11, Features = 385
23380: E[0:01:11]-R[0:00:20]: Return=0.99, Steps=14, Features = 388
23673: E[0:01:12]-R[0:00:19]: Return=0.97, Steps=30, Features = 396
23962: E[0:01:14]-R[0:00:19]: Return=0.99, Steps=10, Features = 413
24000 >>> E[0:01:14]-R[0:00:18]: Return=0.98, Steps=16, Features = 413
24344: E[0:01:15]-R[0:00:17]: Return=0.98, Steps=21, Features = 420
24681: E[0:01:16]-R[0:00:16]: Return=0.97, Steps=27, Features = 429
25005: E[0:01:17]-R[0:00:15]: Return=0.98, Steps=19, Features = 432
25320: E[0:01:18]-R[0:00:14]: Return=0.97, Steps=32, Features = 447
25628: E[0:01:19]-R[0:00:13]: Return=0.98, Steps=24, Features = 449
25945: E[0:01:20]-R[0:00:12]: Return=0.98, Steps=22, Features = 460
26285: E[0:01:21]-R[0:00:11]: Return=0.98, Steps=25, Features = 461
26604: E[0:01:22]-R[0:00:10]: Return=0.98, Steps=16, Features = 461
26903: E[0:01:23]-R[0:00:10]: Return=0.99, Steps=13, Features = 469
27000 >>> E[0:01:23]-R[0:00:09]: Return=0.98, Steps=18, Features = 472
27307: E[0:01:24]-R[0:00:08]: Return=0.99, Steps=12, Features = 473
27589: E[0:01:25]-R[0:00:07]: Return=0.99, Steps=13, Features = 473
27896: E[0:01:26]-R[0:00:07]: Return=0.99, Steps=13, Features = 474
28219: E[0:01:27]-R[0:00:06]: Return=0.99, Steps=15, Features = 475
28535: E[0:01:28]-R[0:00:05]: Return=0.98, Steps=17, Features = 480
28864: E[0:01:29]-R[0:00:04]: Return=0.99, Steps=11, Features = 481
29188: E[0:01:30]-R[0:00:03]: Return=0.98, Steps=19, Features = 489
29514: E[0:01:32]-R[0:00:02]: Return=0.99, Steps=9, Features = 494
29841: E[0:01:33]-R[0:00:00]: Return=0.98, Steps=24, Features = 500
30000 >>> E[0:01:33]-R[0:00:00]: Return=0.99, Steps=12, Features = 501
============================================================
Took 0:01:33
Saved in 2-result.txt
