============================================================
Domain:		PST
Dimensions:	12
|S|:		5451776
|A|:		27
|S|x|A|:		147197952
Episode Cap:	1000
Gamma:		0.9
NUM_UAV:		3
============================================================
Representation:		IndependentDiscretizationCompactBinary
Features per action:	52
Binary Dimensions:	[ 6  7  8  9 10 11]
============================================================
Representation:		iFDD
Features per action:	52
Initial Representation:	IndependentDiscretizationCompactBinary
Plus:			1
Sparsify:		1
Cached:			1
Online Threshold:	100.000
Batch Threshold:		100.000
Max Batch Discovery:	20
============================================================
Agent:		SARSA
Policy:		eGreedy
Alpha_0:		0.10
============================================================
Experiment:		OnlineExperiment
Output:			Results/13ICML-BatchiFDD/PST/PST-iFDD-50000-100/1-results.txt
Learning Steps:		50000
Performance Checks:	5
Log Intervals:		1(s)
106: E[0:00:01]-R[0:08:49]: Return=-82.00, Steps=35, Features = 52
252: E[0:00:02]-R[0:07:40]: Return=-83.00, Steps=34, Features = 55
372: E[0:00:03]-R[0:07:33]: Return=-68.00, Steps=11, Features = 56
518: E[0:00:04]-R[0:07:03]: Return=-72.00, Steps=10, Features = 58
683: E[0:00:05]-R[0:06:36]: Return=-59.00, Steps=10, Features = 59
852: E[0:00:07]-R[0:06:19]: Return=-159.00, Steps=111, Features = 60
963: E[0:00:08]-R[0:06:29]: Return=-70.00, Steps=17, Features = 60
1095: E[0:00:09]-R[0:06:26]: Return=-112.00, Steps=34, Features = 61
1264: E[0:00:10]-R[0:06:16]: Return=-85.00, Steps=57, Features = 61
1425: E[0:00:11]-R[0:06:08]: Return=-31.00, Steps=10, Features = 62
1586: E[0:00:12]-R[0:06:06]: Return=-94.00, Steps=73, Features = 62
1690: E[0:00:13]-R[0:06:12]: Return=-74.00, Steps=11, Features = 62
1806: E[0:00:14]-R[0:06:14]: Return=-81.00, Steps=13, Features = 63
1984: E[0:00:15]-R[0:06:15]: Return=-197.00, Steps=104, Features = 63
2078: E[0:00:17]-R[0:06:21]: Return=-81.00, Steps=34, Features = 63
2232: E[0:00:18]-R[0:06:16]: Return=-51.00, Steps=11, Features = 63
2346: E[0:00:19]-R[0:06:18]: Return=-53.00, Steps=11, Features = 63
2485: E[0:00:20]-R[0:06:15]: Return=-76.00, Steps=10, Features = 63
2716: E[0:00:22]-R[0:06:16]: Return=-133.00, Steps=89, Features = 64
2864: E[0:00:23]-R[0:06:13]: Return=-63.00, Steps=28, Features = 64
2954: E[0:00:24]-R[0:06:21]: Return=-49.00, Steps=18, Features = 65
3078: E[0:00:25]-R[0:06:24]: Return=-91.00, Steps=60, Features = 66
3237: E[0:00:26]-R[0:06:20]: Return=-55.00, Steps=13, Features = 66
3358: E[0:00:27]-R[0:06:21]: Return=-75.00, Steps=22, Features = 66
3518: E[0:00:29]-R[0:06:18]: Return=-164.00, Steps=65, Features = 68
3635: E[0:00:30]-R[0:06:18]: Return=-54.00, Steps=10, Features = 68
3736: E[0:00:31]-R[0:06:20]: Return=-63.00, Steps=14, Features = 68
3898: E[0:00:32]-R[0:06:15]: Return=3.00, Steps=10, Features = 69
4080: E[0:00:33]-R[0:06:10]: Return=-93.00, Steps=31, Features = 69
4237: E[0:00:34]-R[0:06:06]: Return=-131.00, Steps=46, Features = 69
