============================================================
Domain:		InvertedPendulum
Dimensions:	2
|S|:		inf
|A|:		3
|S|x|A|:		inf
Episode Cap:	100
Gamma:		0.9
============================================================
Representation:		Tabular
Discretization:		20
Starting Features:	400
Aggregated States:	400
============================================================
Agent:		SARSA
Policy:		eGreedy
Alpha_0:		0.10
============================================================
Experiment:		OnlineExperiment
Output:			Results/InvertedPendulum-SARSA-Tabular/1-1-result.txt
Max Steps: 		100000
Performance Checks:	15
200: E[0:00:01]-R[0:08:52]: Return=0.00, Steps=100, Features = 400
400: E[0:00:02]-R[0:08:47]: Return=0.00, Steps=100, Features = 400
700: E[0:00:04]-R[0:08:37]: Return=0.00, Steps=100, Features = 400
900: E[0:00:05]-R[0:08:32]: Return=0.00, Steps=100, Features = 400
1100: E[0:00:06]-R[0:08:30]: Return=0.00, Steps=100, Features = 400
1300: E[0:00:07]-R[0:08:29]: Return=0.00, Steps=100, Features = 400
1500: E[0:00:08]-R[0:08:35]: Return=0.00, Steps=100, Features = 400
1700: E[0:00:09]-R[0:08:34]: Return=0.00, Steps=100, Features = 400
1900: E[0:00:10]-R[0:08:34]: Return=0.00, Steps=100, Features = 400
2100: E[0:00:11]-R[0:08:44]: Return=0.00, Steps=100, Features = 400
2300: E[0:00:12]-R[0:08:41]: Return=0.00, Steps=100, Features = 400
2500: E[0:00:13]-R[0:08:40]: Return=3.00, Steps=100, Features = 400
2700: E[0:00:14]-R[0:08:37]: Return=0.00, Steps=100, Features = 400
2900: E[0:00:15]-R[0:08:34]: Return=0.00, Steps=100, Features = 400
3100: E[0:00:16]-R[0:08:32]: Return=0.00, Steps=100, Features = 400
3300: E[0:00:17]-R[0:08:30]: Return=0.00, Steps=100, Features = 400
3600: E[0:00:19]-R[0:08:25]: Return=0.00, Steps=100, Features = 400
3800: E[0:00:20]-R[0:08:23]: Return=0.00, Steps=100, Features = 400
4100: E[0:00:21]-R[0:08:19]: Return=14.00, Steps=100, Features = 400
4400: E[0:00:23]-R[0:08:17]: Return=0.00, Steps=100, Features = 400
4700: E[0:00:24]-R[0:08:14]: Return=0.00, Steps=100, Features = 400
5000: E[0:00:26]-R[0:08:13]: Return=0.00, Steps=100, Features = 400
5300: E[0:00:27]-R[0:08:10]: Return=0.00, Steps=100, Features = 400
5500: E[0:00:28]-R[0:08:09]: Return=0.00, Steps=100, Features = 400
5700: E[0:00:29]-R[0:08:07]: Return=0.00, Steps=100, Features = 400
6000: E[0:00:31]-R[0:08:05]: Return=0.00, Steps=100, Features = 400
6300: E[0:00:32]-R[0:08:02]: Return=0.00, Steps=100, Features = 400
6600: E[0:00:34]-R[0:08:00]: Return=0.00, Steps=100, Features = 400
6666 >>> E[0:00:35]-R[0:08:03]: Return=0.00, Steps=100, Features = 400
6900: E[0:00:36]-R[0:08:02]: Return=0.00, Steps=100, Features = 400
7100: E[0:00:37]-R[0:08:00]: Return=0.00, Steps=100, Features = 400
7400: E[0:00:38]-R[0:07:58]: Return=0.00, Steps=100, Features = 400
7700: E[0:00:40]-R[0:07:56]: Return=0.00, Steps=100, Features = 400
8000: E[0:00:41]-R[0:07:54]: Return=0.00, Steps=100, Features = 400
8300: E[0:00:43]-R[0:07:51]: Return=0.00, Steps=100, Features = 400
8600: E[0:00:44]-R[0:07:49]: Return=0.00, Steps=100, Features = 400
8900: E[0:00:46]-R[0:07:47]: Return=0.00, Steps=100, Features = 400
9100: E[0:00:47]-R[0:07:46]: Return=0.00, Steps=100, Features = 400
9400: E[0:00:48]-R[0:07:44]: Return=0.00, Steps=100, Features = 400
9700: E[0:00:50]-R[0:07:42]: Return=0.00, Steps=100, Features = 400
10000: E[0:00:51]-R[0:07:40]: Return=0.00, Steps=100, Features = 400
10300: E[0:00:53]-R[0:07:38]: Return=0.00, Steps=100, Features = 400
10600: E[0:00:54]-R[0:07:36]: Return=15.00, Steps=100, Features = 400
10900: E[0:00:56]-R[0:07:34]: Return=8.00, Steps=100, Features = 400
11100: E[0:00:57]-R[0:07:33]: Return=0.00, Steps=100, Features = 400
11400: E[0:00:58]-R[0:07:31]: Return=0.00, Steps=100, Features = 400
11600: E[0:00:59]-R[0:07:30]: Return=22.00, Steps=100, Features = 400
11900: E[0:01:00]-R[0:07:28]: Return=0.00, Steps=100, Features = 400
12100: E[0:01:02]-R[0:07:27]: Return=0.00, Steps=100, Features = 400
12300: E[0:01:03]-R[0:07:26]: Return=0.00, Steps=100, Features = 400
12600: E[0:01:04]-R[0:07:24]: Return=0.00, Steps=100, Features = 400
12900: E[0:01:05]-R[0:07:22]: Return=0.00, Steps=100, Features = 400
13100: E[0:01:06]-R[0:07:21]: Return=0.00, Steps=100, Features = 400
13332 >>> E[0:01:08]-R[0:07:22]: Return=15.00, Steps=100, Features = 400
13600: E[0:01:09]-R[0:07:20]: Return=0.00, Steps=100, Features = 400
13900: E[0:01:11]-R[0:07:18]: Return=16.00, Steps=100, Features = 400
14100: E[0:01:12]-R[0:07:17]: Return=0.00, Steps=100, Features = 400
14400: E[0:01:13]-R[0:07:15]: Return=15.00, Steps=100, Features = 400
14600: E[0:01:14]-R[0:07:14]: Return=0.00, Steps=100, Features = 400
14800: E[0:01:15]-R[0:07:13]: Return=11.00, Steps=100, Features = 400
15100: E[0:01:17]-R[0:07:12]: Return=0.00, Steps=100, Features = 400
15300: E[0:01:18]-R[0:07:10]: Return=23.00, Steps=100, Features = 400
15600: E[0:01:19]-R[0:07:09]: Return=12.00, Steps=100, Features = 400
15900: E[0:01:21]-R[0:07:07]: Return=0.00, Steps=100, Features = 400
16200: E[0:01:22]-R[0:07:05]: Return=12.00, Steps=100, Features = 400
16500: E[0:01:24]-R[0:07:04]: Return=6.00, Steps=100, Features = 400
16800: E[0:01:25]-R[0:07:02]: Return=4.00, Steps=100, Features = 400
17100: E[0:01:27]-R[0:07:01]: Return=10.00, Steps=100, Features = 400
17300: E[0:01:28]-R[0:07:00]: Return=15.00, Steps=100, Features = 400
17600: E[0:01:29]-R[0:06:58]: Return=7.00, Steps=100, Features = 400
17800: E[0:01:30]-R[0:06:57]: Return=10.00, Steps=100, Features = 400
18100: E[0:01:32]-R[0:06:55]: Return=0.00, Steps=100, Features = 400
18300: E[0:01:33]-R[0:06:54]: Return=13.00, Steps=100, Features = 400
18500: E[0:01:34]-R[0:06:53]: Return=0.00, Steps=100, Features = 400
18800: E[0:01:35]-R[0:06:52]: Return=0.00, Steps=100, Features = 400
19000: E[0:01:36]-R[0:06:50]: Return=0.00, Steps=100, Features = 400
19200: E[0:01:37]-R[0:06:50]: Return=0.00, Steps=100, Features = 400
19400: E[0:01:38]-R[0:06:49]: Return=0.00, Steps=100, Features = 400
19600: E[0:01:39]-R[0:06:48]: Return=0.00, Steps=100, Features = 400
19800: E[0:01:40]-R[0:06:47]: Return=0.00, Steps=100, Features = 400
19998 >>> E[0:01:42]-R[0:06:47]: Return=7.00, Steps=100, Features = 400
20300: E[0:01:43]-R[0:06:46]: Return=6.00, Steps=100, Features = 400
20600: E[0:01:45]-R[0:06:44]: Return=0.00, Steps=100, Features = 400
20900: E[0:01:46]-R[0:06:42]: Return=0.00, Steps=100, Features = 400
21100: E[0:01:47]-R[0:06:41]: Return=20.00, Steps=100, Features = 400
21300: E[0:01:49]-R[0:06:41]: Return=0.00, Steps=100, Features = 400
21500: E[0:01:50]-R[0:06:42]: Return=0.00, Steps=100, Features = 400
21700: E[0:01:52]-R[0:06:43]: Return=22.00, Steps=100, Features = 400
21900: E[0:01:53]-R[0:06:43]: Return=0.00, Steps=100, Features = 400
22100: E[0:01:54]-R[0:06:43]: Return=9.00, Steps=100, Features = 400
22300: E[0:01:56]-R[0:06:43]: Return=20.00, Steps=100, Features = 400
22500: E[0:01:57]-R[0:06:43]: Return=0.00, Steps=100, Features = 400
22800: E[0:01:58]-R[0:06:41]: Return=0.00, Steps=100, Features = 400
23000: E[0:01:59]-R[0:06:40]: Return=7.00, Steps=100, Features = 400
23200: E[0:02:01]-R[0:06:39]: Return=0.00, Steps=100, Features = 400
23400: E[0:02:02]-R[0:06:40]: Return=0.00, Steps=100, Features = 400
23600: E[0:02:03]-R[0:06:39]: Return=6.00, Steps=100, Features = 400
23800: E[0:02:04]-R[0:06:38]: Return=0.00, Steps=100, Features = 400
24000: E[0:02:05]-R[0:06:37]: Return=7.00, Steps=100, Features = 400
24200: E[0:02:07]-R[0:06:37]: Return=4.00, Steps=100, Features = 400
24400: E[0:02:08]-R[0:06:37]: Return=0.00, Steps=100, Features = 400
24600: E[0:02:09]-R[0:06:36]: Return=12.00, Steps=100, Features = 400
24800: E[0:02:10]-R[0:06:36]: Return=9.00, Steps=100, Features = 400
25000: E[0:02:12]-R[0:06:36]: Return=22.00, Steps=100, Features = 400
25200: E[0:02:13]-R[0:06:35]: Return=9.00, Steps=100, Features = 400
25400: E[0:02:14]-R[0:06:34]: Return=0.00, Steps=100, Features = 400
25600: E[0:02:15]-R[0:06:33]: Return=11.00, Steps=100, Features = 400
25800: E[0:02:16]-R[0:06:32]: Return=1.00, Steps=100, Features = 400
26000: E[0:02:18]-R[0:06:31]: Return=0.00, Steps=100, Features = 400
26200: E[0:02:19]-R[0:06:30]: Return=14.00, Steps=100, Features = 400
26500: E[0:02:20]-R[0:06:28]: Return=7.00, Steps=100, Features = 400
26664 >>> E[0:02:21]-R[0:06:28]: Return=0.00, Steps=100, Features = 400
26900: E[0:02:22]-R[0:06:27]: Return=6.00, Steps=100, Features = 400
27100: E[0:02:23]-R[0:06:26]: Return=0.00, Steps=100, Features = 400
27300: E[0:02:25]-R[0:06:26]: Return=0.00, Steps=100, Features = 400
27500: E[0:02:26]-R[0:06:25]: Return=15.00, Steps=100, Features = 400
27700: E[0:02:27]-R[0:06:24]: Return=0.00, Steps=100, Features = 400
27900: E[0:02:29]-R[0:06:24]: Return=0.00, Steps=100, Features = 400
28100: E[0:02:30]-R[0:06:24]: Return=3.00, Steps=100, Features = 400
28300: E[0:02:31]-R[0:06:23]: Return=0.00, Steps=100, Features = 400
28500: E[0:02:32]-R[0:06:22]: Return=1.00, Steps=100, Features = 400
28700: E[0:02:33]-R[0:06:21]: Return=5.00, Steps=100, Features = 400
28900: E[0:02:35]-R[0:06:21]: Return=0.00, Steps=100, Features = 400
29200: E[0:02:36]-R[0:06:19]: Return=0.00, Steps=100, Features = 400
29400: E[0:02:38]-R[0:06:19]: Return=20.00, Steps=100, Features = 400
29600: E[0:02:39]-R[0:06:18]: Return=9.00, Steps=100, Features = 400
29800: E[0:02:40]-R[0:06:17]: Return=0.00, Steps=100, Features = 400
30000: E[0:02:41]-R[0:06:16]: Return=0.00, Steps=100, Features = 400
30200: E[0:02:43]-R[0:06:16]: Return=13.00, Steps=100, Features = 400
