============================================================
Domain:		InvertedPendulum
Dimensions:	2
|S|:		inf
|A|:		3
|S|x|A|:		inf
Episode Cap:	100
Gamma:		0.9
============================================================
Representation:		Tabular
Discretization:		20
Starting Features:	400
Aggregated States:	400
============================================================
Agent:		SARSA
Policy:		eGreedy
Alpha_0:		0.10
============================================================
Experiment:		OnlineExperiment
Output:			Results/InvertedPendulum-SARSA-Tabular/5-5-result.txt
Max Steps: 		100000
Performance Checks:	15
200: E[0:00:01]-R[0:11:55]: Return=0.00, Steps=100, Features = 400
400: E[0:00:03]-R[0:10:39]: Return=0.00, Steps=100, Features = 400
600: E[0:00:04]-R[0:10:14]: Return=0.00, Steps=100, Features = 400
800: E[0:00:05]-R[0:09:56]: Return=0.00, Steps=100, Features = 400
1000: E[0:00:06]-R[0:09:45]: Return=8.00, Steps=100, Features = 400
1200: E[0:00:07]-R[0:09:42]: Return=4.00, Steps=100, Features = 400
1500: E[0:00:08]-R[0:09:14]: Return=0.00, Steps=100, Features = 400
1800: E[0:00:10]-R[0:09:06]: Return=0.00, Steps=100, Features = 400
2000: E[0:00:11]-R[0:09:09]: Return=0.00, Steps=100, Features = 400
2200: E[0:00:12]-R[0:09:09]: Return=0.00, Steps=100, Features = 400
2400: E[0:00:13]-R[0:09:07]: Return=7.00, Steps=100, Features = 400
2600: E[0:00:15]-R[0:09:04]: Return=0.00, Steps=100, Features = 400
2800: E[0:00:16]-R[0:09:04]: Return=0.00, Steps=100, Features = 400
3000: E[0:00:17]-R[0:08:59]: Return=0.00, Steps=100, Features = 400
3300: E[0:00:18]-R[0:08:52]: Return=0.00, Steps=100, Features = 400
3600: E[0:00:20]-R[0:08:47]: Return=0.00, Steps=100, Features = 400
3800: E[0:00:21]-R[0:08:44]: Return=0.00, Steps=100, Features = 400
4100: E[0:00:22]-R[0:08:39]: Return=0.00, Steps=100, Features = 400
4400: E[0:00:24]-R[0:08:32]: Return=0.00, Steps=100, Features = 400
4600: E[0:00:25]-R[0:08:29]: Return=0.00, Steps=100, Features = 400
4800: E[0:00:26]-R[0:08:30]: Return=0.00, Steps=100, Features = 400
5100: E[0:00:27]-R[0:08:26]: Return=0.00, Steps=100, Features = 400
5400: E[0:00:29]-R[0:08:23]: Return=0.00, Steps=100, Features = 400
5700: E[0:00:30]-R[0:08:19]: Return=0.00, Steps=100, Features = 400
5900: E[0:00:31]-R[0:08:17]: Return=0.00, Steps=100, Features = 400
6100: E[0:00:32]-R[0:08:16]: Return=0.00, Steps=100, Features = 400
