============================================================
Domain:		InvertedPendulum
Dimensions:	2
|S|:		inf
|A|:		3
|S|x|A|:		inf
Episode Cap:	100
Gamma:		0.9
============================================================
Representation:		Tabular
Discretization:		20
Starting Features:	400
Aggregated States:	400
============================================================
Agent:		SARSA
Policy:		eGreedy
Alpha_0:		0.10
============================================================
Experiment:		OnlineExperiment
Output:			Results/InvertedPendulum-SARSA-Tabular/2-2-result.txt
Max Steps: 		100000
Performance Checks:	15
200: E[0:00:01]-R[0:08:59]: Return=0.00, Steps=100, Features = 400
400: E[0:00:02]-R[0:08:57]: Return=6.00, Steps=100, Features = 400
600: E[0:00:03]-R[0:08:46]: Return=0.00, Steps=100, Features = 400
800: E[0:00:04]-R[0:08:41]: Return=0.00, Steps=100, Features = 400
1000: E[0:00:05]-R[0:08:38]: Return=0.00, Steps=100, Features = 400
1200: E[0:00:06]-R[0:08:34]: Return=0.00, Steps=100, Features = 400
1400: E[0:00:07]-R[0:08:34]: Return=0.00, Steps=100, Features = 400
1600: E[0:00:08]-R[0:08:39]: Return=0.00, Steps=100, Features = 400
1800: E[0:00:10]-R[0:08:38]: Return=0.00, Steps=100, Features = 400
2000: E[0:00:11]-R[0:08:37]: Return=0.00, Steps=100, Features = 400
2200: E[0:00:12]-R[0:08:37]: Return=0.00, Steps=100, Features = 400
2400: E[0:00:13]-R[0:08:36]: Return=0.00, Steps=100, Features = 400
2600: E[0:00:14]-R[0:08:34]: Return=0.00, Steps=100, Features = 400
2800: E[0:00:15]-R[0:08:31]: Return=0.00, Steps=100, Features = 400
3000: E[0:00:16]-R[0:08:30]: Return=0.00, Steps=100, Features = 400
3200: E[0:00:17]-R[0:08:28]: Return=0.00, Steps=100, Features = 400
3400: E[0:00:18]-R[0:08:26]: Return=0.00, Steps=100, Features = 400
3700: E[0:00:19]-R[0:08:22]: Return=0.00, Steps=100, Features = 400
3900: E[0:00:20]-R[0:08:20]: Return=4.00, Steps=100, Features = 400
4200: E[0:00:22]-R[0:08:17]: Return=0.00, Steps=100, Features = 400
4400: E[0:00:23]-R[0:08:16]: Return=0.00, Steps=100, Features = 400
4600: E[0:00:24]-R[0:08:15]: Return=0.00, Steps=100, Features = 400
4900: E[0:00:25]-R[0:08:11]: Return=0.00, Steps=100, Features = 400
5100: E[0:00:27]-R[0:08:13]: Return=0.00, Steps=100, Features = 400
5400: E[0:00:28]-R[0:08:10]: Return=0.00, Steps=100, Features = 400
5600: E[0:00:29]-R[0:08:09]: Return=0.00, Steps=100, Features = 400
5900: E[0:00:30]-R[0:08:06]: Return=0.00, Steps=100, Features = 400
6200: E[0:00:32]-R[0:08:04]: Return=0.00, Steps=100, Features = 400
6500: E[0:00:34]-R[0:08:02]: Return=0.00, Steps=100, Features = 400
6666 >>> E[0:00:35]-R[0:08:05]: Return=0.00, Steps=100, Features = 400
6900: E[0:00:36]-R[0:08:03]: Return=0.00, Steps=100, Features = 400
7200: E[0:00:37]-R[0:08:01]: Return=0.00, Steps=100, Features = 400
7400: E[0:00:38]-R[0:08:00]: Return=0.00, Steps=100, Features = 400
7600: E[0:00:39]-R[0:07:59]: Return=0.00, Steps=100, Features = 400
7900: E[0:00:41]-R[0:07:57]: Return=0.00, Steps=100, Features = 400
8100: E[0:00:42]-R[0:07:55]: Return=0.00, Steps=100, Features = 400
8300: E[0:00:43]-R[0:07:54]: Return=0.00, Steps=100, Features = 400
8500: E[0:00:44]-R[0:07:53]: Return=0.00, Steps=100, Features = 400
8800: E[0:00:45]-R[0:07:50]: Return=0.00, Steps=100, Features = 400
9100: E[0:00:47]-R[0:07:48]: Return=0.00, Steps=100, Features = 400
9300: E[0:00:48]-R[0:07:47]: Return=0.00, Steps=100, Features = 400
9600: E[0:00:49]-R[0:07:45]: Return=0.00, Steps=100, Features = 400
9800: E[0:00:50]-R[0:07:44]: Return=0.00, Steps=100, Features = 400
10100: E[0:00:52]-R[0:07:42]: Return=0.00, Steps=100, Features = 400
10300: E[0:00:53]-R[0:07:41]: Return=0.00, Steps=100, Features = 400
10600: E[0:00:54]-R[0:07:39]: Return=0.00, Steps=100, Features = 400
10900: E[0:00:56]-R[0:07:37]: Return=0.00, Steps=100, Features = 400
11100: E[0:00:57]-R[0:07:36]: Return=0.00, Steps=100, Features = 400
11400: E[0:00:58]-R[0:07:34]: Return=0.00, Steps=100, Features = 400
11600: E[0:00:59]-R[0:07:33]: Return=0.00, Steps=100, Features = 400
11900: E[0:01:01]-R[0:07:31]: Return=0.00, Steps=100, Features = 400
12200: E[0:01:02]-R[0:07:29]: Return=0.00, Steps=100, Features = 400
12500: E[0:01:04]-R[0:07:28]: Return=0.00, Steps=100, Features = 400
12800: E[0:01:05]-R[0:07:26]: Return=0.00, Steps=100, Features = 400
13100: E[0:01:07]-R[0:07:24]: Return=0.00, Steps=100, Features = 400
13300: E[0:01:08]-R[0:07:23]: Return=0.00, Steps=100, Features = 400
13332 >>> E[0:01:08]-R[0:07:25]: Return=0.00, Steps=100, Features = 400
13600: E[0:01:10]-R[0:07:23]: Return=0.00, Steps=100, Features = 400
13900: E[0:01:11]-R[0:07:21]: Return=0.00, Steps=100, Features = 400
14200: E[0:01:13]-R[0:07:19]: Return=0.00, Steps=100, Features = 400
14500: E[0:01:14]-R[0:07:18]: Return=0.00, Steps=100, Features = 400
14700: E[0:01:15]-R[0:07:16]: Return=0.00, Steps=100, Features = 400
14900: E[0:01:16]-R[0:07:15]: Return=0.00, Steps=100, Features = 400
15200: E[0:01:18]-R[0:07:14]: Return=0.00, Steps=100, Features = 400
15400: E[0:01:19]-R[0:07:12]: Return=0.00, Steps=100, Features = 400
15600: E[0:01:20]-R[0:07:11]: Return=6.00, Steps=100, Features = 400
15900: E[0:01:21]-R[0:07:09]: Return=0.00, Steps=100, Features = 400
16200: E[0:01:23]-R[0:07:08]: Return=0.00, Steps=100, Features = 400
16400: E[0:01:24]-R[0:07:07]: Return=0.00, Steps=100, Features = 400
16700: E[0:01:25]-R[0:07:05]: Return=0.00, Steps=100, Features = 400
16900: E[0:01:26]-R[0:07:04]: Return=0.00, Steps=100, Features = 400
