============================================================
Domain:		InvertedPendulum
Dimensions:	2
|S|:		inf
|A|:		3
|S|x|A|:		inf
Episode Cap:	100
Gamma:		0.9
============================================================
Representation:		Tabular
Discretization:		20
Starting Features:	400
Aggregated States:	400
============================================================
Agent:		SARSA
Policy:		eGreedy
Alpha_0:		0.10
============================================================
Experiment:		OnlineExperiment
Output:			Results/InvertedPendulum-SARSA-Tabular/3-3-result.txt
Max Steps: 		100000
Performance Checks:	15
200: E[0:00:01]-R[0:09:14]: Return=0.00, Steps=100, Features = 400
400: E[0:00:02]-R[0:08:57]: Return=0.00, Steps=100, Features = 400
600: E[0:00:03]-R[0:08:43]: Return=14.00, Steps=100, Features = 400
800: E[0:00:04]-R[0:08:41]: Return=0.00, Steps=100, Features = 400
1000: E[0:00:05]-R[0:08:36]: Return=0.00, Steps=100, Features = 400
1200: E[0:00:06]-R[0:08:34]: Return=0.00, Steps=100, Features = 400
1400: E[0:00:07]-R[0:08:33]: Return=6.00, Steps=100, Features = 400
1600: E[0:00:08]-R[0:08:39]: Return=0.00, Steps=100, Features = 400
1800: E[0:00:10]-R[0:08:39]: Return=0.00, Steps=100, Features = 400
2000: E[0:00:11]-R[0:08:37]: Return=13.00, Steps=100, Features = 400
2200: E[0:00:12]-R[0:08:38]: Return=0.00, Steps=100, Features = 400
2400: E[0:00:13]-R[0:08:37]: Return=15.00, Steps=100, Features = 400
2600: E[0:00:14]-R[0:08:37]: Return=12.00, Steps=100, Features = 400
2800: E[0:00:15]-R[0:08:39]: Return=0.00, Steps=100, Features = 400
3000: E[0:00:16]-R[0:08:40]: Return=4.00, Steps=100, Features = 400
3200: E[0:00:17]-R[0:08:38]: Return=16.00, Steps=100, Features = 400
3400: E[0:00:18]-R[0:08:35]: Return=4.00, Steps=100, Features = 400
3600: E[0:00:19]-R[0:08:33]: Return=16.00, Steps=100, Features = 400
3800: E[0:00:20]-R[0:08:30]: Return=0.00, Steps=100, Features = 400
4000: E[0:00:21]-R[0:08:28]: Return=10.00, Steps=100, Features = 400
4200: E[0:00:22]-R[0:08:26]: Return=5.00, Steps=100, Features = 400
4400: E[0:00:23]-R[0:08:25]: Return=13.00, Steps=100, Features = 400
